Id,Type,Transaction_type,Payer,Payee,Amount,Transaction_date
76,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,99999,10/18/2016 13:51
77,EXTERNAL,CUSTOMER_MERCHANT,ggftt@LOFC@055522558555,acc.exide1@LOFC,5600.5,10/18/2016 13:51
78,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,123.5,10/18/2016 13:51
79,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,123.5,10/18/2016 13:51
80,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
81,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
82,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
83,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
84,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
85,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
86,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
87,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,50000.25,10/18/2016 13:51
88,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,5000.9,10/18/2016 13:51
89,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,5000.9,10/18/2016 13:51
90,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
91,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
92,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
93,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
94,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
95,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,7.5,10/18/2016 13:51
96,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,555,10/18/2016 13:51
97,EXTERNAL,CUSTOMER_MERCHANT,qwerty1@LOFC@85878555,acc.exide1@LOFC,30,10/18/2016 13:51
98,EXTERNAL,CUSTOMER_MERCHANT,ooooop@LOFC@785556665556,acc.exide1@LOFC,750,10/18/2016 13:51
99,EXTERNAL,CUSTOMER_MERCHANT,nisalaasf@LOFC@8888778,acc.exide1@LOFC,8589,10/18/2016 13:51
100,EXTERNAL,CUSTOMER_MERCHANT,nisalaasf@LOFC@989898,acc.insu1@SAMPATH,68989,10/18/2016 13:51
101,EXTERNAL,CUSTOMER_MERCHANT,nisalaasf@LOFC@989898,acc.exide1@LOFC,555,10/18/2016 13:51
102,EXTERNAL,CUSTOMER_MERCHANT,nisalaasf@LOFC@989898,acc.insu1@SAMPATH,655588,10/18/2016 13:51
103,EXTERNAL,CUSTOMER_MERCHANT,nisalaasf@LOFC@989898,acc.exide1@LOFC,888,10/18/2016 13:51
104,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@5555,acc.exide1@LOFC,9797997,10/18/2016 13:51
105,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@5555,acc.insu1@SAMPATH,6666,10/18/2016 13:51
106,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@5555,acc.insu1@SAMPATH,548448,10/18/2016 13:51
107,EXTERNAL,CUSTOMER_MERCHANT,kumara@LOFC@5555,acc.insu1@SAMPATH,69969,10/18/2016 13:51
108,EXTERNAL,CUSTOMER_MERCHANT,fff@LOFC@9988,acc.insu1@SAMPATH,458,10/18/2016 13:51
109,EXTERNAL,CUSTOMER_MERCHANT,fff@LOFC@9988,acc.exide1@LOFC,563,10/18/2016 13:51
110,EXTERNAL,CUSTOMER_MERCHANT,fff@LOFC@9988,acc.exide1@LOFC,665,10/18/2016 13:51
111,EXTERNAL,CUSTOMER_MERCHANT,wijekoon@LOFC@002258500000698,acc.exide1@LOFC,4500,10/18/2016 13:51
112,EXTERNAL,CUSTOMER_MERCHANT,ydudh@LOFC@565555555,acc.exide1@LOFC,235,10/18/2016 13:51
113,EXTERNAL,CUSTOMER_MERCHANT,Sanatha@LOFC@00110000002,acc.exide1@LOFC,5.25,10/18/2016 13:51
114,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,5.25,10/18/2016 13:51
115,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,5.25,10/18/2016 13:51
116,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644 ,acc.insu1@SAMPATH,5.25,10/18/2016 13:51
117,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644 ,acc.insu1@SAMPATH,5.25,10/18/2016 13:51
118,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/18/2016 13:51
119,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/18/2016 13:51
120,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/18/2016 13:51
121,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/18/2016 13:51
122,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/18/2016 14:51
123,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:06
124,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:10
125,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:14
126,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:16
127,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:16
128,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:18
129,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/19/2016 12:24
130,,CUSTOMER_MERCHANT,,acc.insu1@SAMPATH,9999,10/25/2016 14:36
131,,VER,99910010164,110000001,10,10/28/2016 13:00
132,,VER,99910010164,110000001,1.5,10/28/2016 13:21
133,,VER,99910010164,110000001,2,10/28/2016 13:21
134,,VER,99910010164,110000001,1.5,10/28/2016 13:59
135,,VER,99910010164,110000001,2,10/28/2016 13:59
136,,VER,99910010164,lahiruat3@LOFC@11111123,1,10/28/2016 15:05
137,,VER,99910010164,lahiruat3@LOFC@11111123,10,10/28/2016 15:05
138,,VER,99910010164,null,65,10/28/2016 15:05
139,,VER,99910010164,null,6,10/28/2016 15:05
140,,VER,99910010164,11111123,1,10/28/2016 15:08
141,,VER,99910010164,11111123,10,10/28/2016 15:08
142,,VER,99910010164,99910010170,10.25,10/28/2016 15:13
143,,VER,99910010164,99910010170,12.25,10/28/2016 15:13
144,,VER,99910010164,8999,10.25,10/28/2016 15:18
145,,VER,99910010164,8999,12.25,10/28/2016 15:18
146,,VER,99910010164,99910010125,10.25,10/28/2016 15:19
147,,VER,99910010164,99910010125,12.25,10/28/2016 15:19
148,,VER,99910010164,99910010171,10.25,10/28/2016 15:24
149,,VER,99910010164,99910010171,12.25,10/28/2016 15:24
150,,VER,99910010164,9464,10.25,10/28/2016 15:27
151,,VER,99910010164,9464,12.25,10/28/2016 15:27
152,,VER,99910010164,99910010172,10.25,10/28/2016 15:36
153,,VER,99910010164,99910010172,12.25,10/28/2016 15:36
154,,VER,99910010164,556656,10.25,10/28/2016 15:37
155,,VER,99910010164,556656,12.25,10/28/2016 15:37
156,,VER,99910010164,3626565,10.25,10/28/2016 15:37
157,,VER,99910010164,3626565,12.25,10/28/2016 15:37
158,,VER,99910010164,99910010173,10.25,10/28/2016 15:47
159,,VER,99910010164,99910010173,12.25,10/28/2016 15:47
160,,VER,99910010164,99910010174,10.25,10/28/2016 15:50
161,,VER,99910010164,99910010174,12.25,10/28/2016 15:50
162,,VER,99910010164,6565665,10.25,10/28/2016 15:51
163,,VER,99910010164,6565665,12.25,10/28/2016 15:51
164,,VER,99910010164,99910010175,10.25,10/28/2016 15:52
165,,VER,99910010164,99910010175,12.25,10/28/2016 15:52
166,,VER,99910010164,99910010124,10.25,10/28/2016 15:53
167,,VER,99910010164,99910010124,12.25,10/28/2016 15:53
168,,VER,99910010164,99910010123,10.25,10/28/2016 15:57
169,,VER,99910010164,99910010123,12.25,10/28/2016 15:57
170,,VER,99910010164,99910010114,10.25,10/28/2016 16:01
171,,VER,99910010164,99910010114,12.25,10/28/2016 16:01
172,,VER,99910010164,99910010116,10.25,10/28/2016 16:06
173,,VER,99910010164,99910010116,12.25,10/28/2016 16:06
174,,VER,99910010164,99910010112,10.25,10/28/2016 16:25
175,,VER,99910010164,99910010112,12.25,10/28/2016 16:25
176,,VER,99910010164,99910010180,10.25,10/28/2016 16:37
177,,VER,99910010164,99910010180,12.25,10/28/2016 16:37
178,,VER,99910010164,12345625,10.25,10/31/2016 11:08
179,,VER,99910010164,12345625,12.25,10/31/2016 11:08
180,,VER,99910010164,110000001,10.25,10/31/2016 11:16
181,,VER,99910010164,110000001,12.25,10/31/2016 11:16
182,,VER,99910010164,110000004,10.25,10/31/2016 12:51
183,,VER,99910010164,580087798,10.25,10/31/2016 13:04
184,,VER,99910010164,110000005,10.25,10/31/2016 13:23
185,,VER,99910010164,110000005,12.25,10/31/2016 13:24
186,,VER,99910010164,110000006,10.25,10/31/2016 13:41
187,,VER,99910010164,110000006,12.25,10/31/2016 13:41
188,,VER,99910010164,110000007,10.25,10/31/2016 13:43
189,,VER,99910010164,110000007,12.25,10/31/2016 13:43
190,,VER,99910010164,110000008,10.25,10/31/2016 13:44
191,,VER,99910010164,110000008,12.25,10/31/2016 13:44
192,,VER,99910010164,110000009,10.25,10/31/2016 13:47
193,,VER,99910010164,110000009,12.25,10/31/2016 13:47
194,,VER,99910010164,110000010,10.25,10/31/2016 13:54
195,,VER,99910010164,110000010,12.25,10/31/2016 13:54
196,,VER,99910010164,110000011,10.25,10/31/2016 14:00
197,,VER,99910010164,110000011,12.25,10/31/2016 14:00
198,,VER,99910010164,99910010013,10.25,10/31/2016 14:14
199,,VER,99910010164,99910010013,12.25,10/31/2016 14:14
200,,VER,99910010164,99910010081,10.25,10/31/2016 14:15
201,,VER,99910010164,99910010081,12.25,10/31/2016 14:15
202,,VER,99910010164,99910010018,10.25,10/31/2016 14:32
203,,VER,99910010164,99910010018,12.25,10/31/2016 14:32
204,,VER,99910010164,99910010011,10.25,10/31/2016 14:42
205,,VER,99910010164,99910010011,12.25,10/31/2016 14:42
206,,VER,99910010164,110000012,10.25,10/31/2016 14:47
207,,VER,99910010164,110000012,12.25,10/31/2016 14:47
208,,VER,99910010164,99910010010,10.25,10/31/2016 14:49
209,,VER,99910010164,99910010010,12.25,10/31/2016 14:49
210,,VER,99910010164,99910010009,10.25,10/31/2016 14:56
211,,VER,99910010164,99910010009,12.25,10/31/2016 14:56
212,,VER,99910010164,99910010023,10.25,10/31/2016 15:01
213,,VER,99910010164,99910010023,12.25,10/31/2016 15:01
214,,VER,99910010164,99910010021,10.25,10/31/2016 15:01
215,,VER,99910010164,99910010021,12.25,10/31/2016 15:01
216,,VER,99910010164,110000013,10.25,10/31/2016 15:03
217,,VER,99910010164,110000013,12.25,10/31/2016 15:03
218,EXTERNAL,CUSTOMER_MERCHANT,kumara@CLC@9494644,acc.insu1@SAMPATH,909,10/31/2016 15:21
219,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,25.5,10/31/2016 15:22
220,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,27.5,10/31/2016 15:25
221,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,27.5,10/31/2016 15:38
222,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 15:43
223,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 15:45
224,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 15:47
225,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 15:54
226,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 16:05
227,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,30.5,10/31/2016 17:35
228,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,31.5,10/31/2016 17:37
229,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,31.5,10/31/2016 17:48
230,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,31.5,11/2/2016 11:24
231,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,90,11/2/2016 11:28
232,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,90,11/2/2016 11:29
233,INTERNAL,CUSTOMER_CUSTOMER,dumindaw@LOFC@00110000010,dumindaw@LOFC@00110000011,31.5,11/2/2016 17:19
234,,CUSTOMER_MERCHANT,,acc.insu1@SAMPATH,800,11/3/2016 14:38
235,,CUSTOMER_MERCHANT,,acc.insu1@SAMPATH,800,11/3/2016 14:38
236,,VER,99910010164,9.99E+11,7.6,11/7/2016 11:29
237,,VER,99910010164,9.99E+11,8.3,11/7/2016 11:29
238,,VER,99910010164,110000014,6.3,11/7/2016 12:00
239,,VER,99910010164,110000014,0.1,11/7/2016 12:00
240,,VER,99910010164,110000016,0,11/7/2016 13:07
241,,VER,99910010164,110000018,8.2,11/7/2016 13:10
242,,VER,99910010164,110000018,6.7,11/7/2016 13:10
243,,VER,99910010164,110000019,4.8,11/7/2016 13:19
244,,VER,99910010164,110000020,6,11/7/2016 13:19
245,,VER,99910010164,110000021,0,11/7/2016 13:19
246,,VER,99910010164,110000022,6.4,11/7/2016 13:20
247,,VER,99910010164,110000022,7.8,11/7/2016 13:20
248,,VER,99910010164,110000024,0.2,11/7/2016 13:30
249,,VER,99910010164,110000025,2.4,11/7/2016 13:30
250,,VER,99910010164,110000025,0.5,11/7/2016 13:30
251,,VER,99910010164,110000026,9.6,11/7/2016 14:46
252,,VER,99910010164,110000027,0.2,11/7/2016 14:47
253,,VER,99910010164,110000028,9.4,11/7/2016 14:47
254,,VER,99910010164,110000029,5.4,11/7/2016 14:47
255,,VER,99910010164,110000029,0.8,11/7/2016 14:47
256,,VER,99910010164,9.99E+11,8.4,11/7/2016 16:45
257,,VER,99910010164,9.99E+11,2.1,11/7/2016 16:45
258,,VER,99910010164,99910010044,1.7,11/7/2016 16:46
259,,VER,99910010164,99910010044,9.7,11/7/2016 16:46
260,,VER,99910010164,99910010043,0.3,11/7/2016 17:19
261,,VER,99910010164,99910010043,1.6,11/7/2016 17:20
262,,VER,99910010164,99910010088,0.3,11/7/2016 18:22
263,,VER,99910010164,99910010088,9.1,11/7/2016 18:22
264,,VER,99910010164,99910010089,2,11/7/2016 18:48
265,,VER,99910010164,99910010089,8.9,11/7/2016 18:48
266,EXTERNAL,CUSTOMER_MERCHANT,dumindaw@LOFC@00110000010,acc.exide1@LOFC,31.5,11/8/2016 9:47
267,,VER,99910010164,99910010090,10,11/8/2016 9:53
268,,VER,99910010164,99910010090,8.3,11/8/2016 9:53
269,EXTERNAL,CUSTOMER_MERCHANT,dumindaw@LOFC@00110000010,acc.exide1@LOFC,35.58,11/8/2016 10:10
270,EXTERNAL,CUSTOMER_MERCHANT,dumindaw@LOFC@00110000010,acc.exide1@LOFC,35.58,11/8/2016 10:30
271,EXTERNAL,CUSTOMER_MERCHANT,tcwijekoon@LOFC@2,acc.exide1@LOFC,25.65,11/8/2016 10:34
272,,VER,99910010164,99910010045,4.6,11/8/2016 10:43
273,,VER,99910010164,99910010045,8.7,11/8/2016 10:43
274,EXTERNAL,CUSTOMER_MERCHANT,dddd,acc.exide1@LOFC,35.58,11/8/2016 11:00
275,EXTERNAL,CUSTOMER_MERCHANT,dumindaw@LOFC@00110000010,acc.exide1@LOFC,35.58,11/8/2016 11:00
